pk,date,hour,venue_id,venue,home_id,home,away_id,away,home_score,away_score,total,home_sp,away_sp,home_sp_name,away_sp_name,season,home_era,away_era,home_ip,away_ip
778076,2025-05-03,23,4705,Truist Park,144,Atlanta Braves,119,Los Angeles Dodgers,3,10,13,680885,808963,Spencer Schwellenbach,Roki Sasaki,2025,2.867,3.553,37.7,25.3
778067,2025-05-04,1,1,Angel Stadium,108,Los Angeles Angels,116,Detroit Tigers,5,2,7,543294,656427,Kyle Hendricks,Jack Flaherty,2025,5.283,3.789,30.7,38.0
778053,2025-05-04,17,2889,Busch Stadium,138,St. Louis Cardinals,121,New York Mets,6,5,11,607200,694918,Erick Fedde,Blade Tidwell,2025,4.684,,32.7,0
778068,2025-05-04,22,2889,Busch Stadium,138,St. Louis Cardinals,121,New York Mets,5,4,9,669467,656731,Andre Pallante,Tylor Megill,2025,4.133,1.742,32.7,31.0
778062,2025-05-04,17,2,Oriole Park at Camden Yards,110,Baltimore Orioles,118,Kansas City Royals,6,11,17,502043,547179,Kyle Gibson,Michael Lorenzen,2025,,3.475,3.7,33.7
778051,2025-05-04,17,31,PNC Park,134,Pittsburgh Pirates,135,San Diego Padres,0,4,4,571760,663568,Andrew Heaney,Stephen Kolek,2025,2.5,,36.0,0
778063,2025-05-04,17,3,Fenway Park,111,Boston Red Sox,142,Minnesota Twins,4,5,9,676979,663978,Garrett Crochet,Chris Paddack,2025,2.045,5.598,44.0,27.3
778057,2025-05-04,17,3313,Yankee Stadium,147,New York Yankees,139,Tampa Bay Rays,5,7,12,701542,671737,Will Warren,Taj Bradley,2025,5.625,4.585,24.0,35.3
778056,2025-05-04,17,14,Rogers Centre,141,Toronto Blue Jays,114,Cleveland Guardians,4,5,9,670102,676440,Bowden Francis,Tanner Bibee,2025,5.283,4.364,30.7,33.0
778061,2025-05-04,17,4169,loanDepot park,146,Miami Marlins,133,Athletics,2,3,5,665795,676664,Edward Cabrera,JP Sears,2025,,2.941,18.7,33.7
778059,2025-05-04,18,2681,Citizens Bank Park,143,Philadelphia Phillies,109,Arizona Diamondbacks,9,11,20,624133,593958,Ranger Suarez,Eduardo Rodriguez,2025,,6.061,0,32.7
778055,2025-05-04,18,4,Rate Field,145,Chicago White Sox,117,Houston Astros,5,4,9,669060,621121,Bryse Wilson,Lance McCullers Jr.,2025,,,18.0,0
778054,2025-05-04,18,32,American Family Field,158,Milwaukee Brewers,112,Chicago Cubs,4,0,4,642547,684007,Freddy Peralta,Shota Imanaga,2025,2.517,2.769,39.3,39.0
778052,2025-05-04,18,5325,Globe Life Field,140,Texas Rangers,136,Seattle Mariners,8,1,9,594798,688138,Jacob deGrom,Logan Evans,2025,2.727,,33.0,5.0
778048,2025-05-04,20,2395,Oracle Park,137,San Francisco Giants,115,Colorado Rockies,9,3,12,657277,608566,Logan Webb,Germán Márquez,2025,2.831,9.818,41.3,25.7
778050,2025-05-04,20,1,Angel Stadium,108,Los Angeles Angels,116,Detroit Tigers,1,13,14,686799,681857,Jack Kochanowicz,Reese Olson,2025,5.289,3.545,32.3,33.0
778058,2025-05-04,20,2602,Great American Ball Park,113,Cincinnati Reds,120,Washington Nationals,1,4,5,607259,669022,Nick Martinez,MacKenzie Gore,2025,4.684,3.512,32.7,41.0
778060,2025-05-04,23,4705,Truist Park,144,Atlanta Braves,119,Los Angeles Dodgers,4,3,7,693821,669160,Bryce Elder,Dustin May,2025,5.333,3.951,27.0,27.3
778047,2025-05-05,22,4169,loanDepot park,146,Miami Marlins,119,Los Angeles Dodgers,4,7,11,645261,676263,Sandy Alcantara,Jack Dreyer,2025,8.308,,26.0,17.7
778045,2025-05-05,23,3313,Yankee Stadium,147,New York Yankees,135,San Diego Padres,3,4,7,607074,601713,Carlos Rodón,Nick Pivetta,2025,3.429,1.783,42.0,35.3
778049,2025-05-05,23,4705,Truist Park,144,Atlanta Braves,113,Cincinnati Reds,4,0,4,700363,663903,AJ Smith-Shawver,Brady Singer,2025,,3.24,19.0,33.3
778044,2025-05-05,23,17,Wrigley Field,112,Chicago Cubs,137,San Francisco Giants,9,2,11,571510,694738,Matthew Boyd,Landen Roupp,2025,2.7,5.1,33.3,30.0
778043,2025-05-05,23,7,Kauffman Stadium,118,Kansas City Royals,145,Chicago White Sox,3,0,3,666142,681343,Cole Ragans,Shane Smith,2025,4.402,2.227,30.7,32.3
778042,2025-05-05,23,32,American Family Field,158,Milwaukee Brewers,117,Houston Astros,5,1,6,668964,669854,Tobias Myers,Ronel Blanco,2025,,5.082,7.0,28.3
778036,2025-05-05,23,2889,Busch Stadium,138,St. Louis Cardinals,134,Pittsburgh Pirates,6,3,9,571945,669387,Miles Mikolas,Carmen Mlodzinski,2025,4.655,6.577,29.0,26.0
778039,2025-05-06,1,15,Chase Field,109,Arizona Diamondbacks,121,New York Mets,4,5,9,669194,656288,Ryne Nelson,Griffin Canning,2025,5.484,2.5,21.3,36.0
778038,2025-05-06,2,2529,Sutter Health Park,133,Athletics,136,Seattle Mariners,7,6,13,622663,682243,Luis Severino,Bryce Miller,2025,3.624,4.154,49.7,34.7
778026,2025-05-06,19,3309,Nationals Park,120,Washington Nationals,114,Cleveland Guardians,10,9,19,663623,682847,Jake Irvin,Luis Ortiz,2025,4.008,4.781,42.7,32.0
778046,2025-05-06,19,3309,Nationals Park,120,Washington Nationals,114,Cleveland Guardians,1,9,10,695418,594902,Brad Lord,Ben Lively,2025,4.433,3.716,22.3,36.3
778035,2025-05-06,22,4169,loanDepot park,146,Miami Marlins,119,Los Angeles Dodgers,5,4,9,615698,664062,Cal Quantrill,Tony Gonsolin,2025,8.1,,26.7,6.0
778037,2025-05-06,22,3,Fenway Park,111,Boston Red Sox,140,Texas Rangers,1,6,7,608337,543135,Lucas Giolito,Nathan Eovaldi,2025,,2.109,6.0,42.7
778040,2025-05-06,23,2523,George M. Steinbrenner Field,139,Tampa Bay Rays,143,Philadelphia Phillies,4,8,12,656876,554430,Drew Rasmussen,Zack Wheeler,2025,2.641,3.477,30.7,44.0
778041,2025-05-06,23,3313,Yankee Stadium,147,New York Yankees,135,San Diego Padres,12,3,15,657376,650633,Clarke Schmidt,Michael King,2025,,2.095,14.7,38.7
778034,2025-05-06,23,4705,Truist Park,144,Atlanta Braves,113,Cincinnati Reds,2,1,3,519242,671096,Chris Sale,Andrew Abbott,2025,4.84,,35.3,19.0
778027,2025-05-06,23,17,Wrigley Field,112,Chicago Cubs,137,San Francisco Giants,5,14,19,607067,434378,Colin Rea,Justin Verlander,2025,1.459,4.378,24.7,37.0
778028,2025-05-06,23,3312,Target Field,142,Minnesota Twins,110,Baltimore Orioles,9,1,10,641154,700249,Pablo López,Cade Povich,2025,2.25,5.157,28.0,29.7
778033,2025-05-06,23,7,Kauffman Stadium,118,Kansas City Royals,145,Chicago White Sox,4,3,7,607625,680732,Seth Lugo,Sean Burke,2025,3.068,4.909,44.0,33.0
778031,2025-05-06,23,32,American Family Field,158,Milwaukee Brewers,117,Houston Astros,4,3,7,694477,669713,Chad Patrick,Hayden Wesneski,2025,2.872,3.857,31.3,28.0
778030,2025-05-06,23,2889,Busch Stadium,138,St. Louis Cardinals,134,Pittsburgh Pirates,2,1,3,669461,694973,Matthew Liberatore,Paul Skenes,2025,3.441,2.742,34.0,42.7
778025,2025-05-07,1,1,Angel Stadium,108,Los Angeles Angels,141,Toronto Blue Jays,8,3,11,542881,570632,Tyler Anderson,José Ureña,2025,2.678,,40.3,7.3
778032,2025-05-07,1,15,Chase Field,109,Arizona Diamondbacks,121,New York Mets,5,1,6,668678,656849,Zac Gallen,David Peterson,2025,4.368,3.052,45.3,38.3
778024,2025-05-07,2,2529,Sutter Health Park,133,Athletics,136,Seattle Mariners,3,5,8,605488,676106,Jeffrey Springs,Emerson Hancock,2025,4.805,5.704,39.3,23.7
778022,2025-05-07,16,3309,Nationals Park,120,Washington Nationals,114,Cleveland Guardians,6,8,14,647336,671106,Michael Soroka,Logan Allen,2025,,4.021,5.0,31.3
778015,2025-05-07,17,32,American Family Field,158,Milwaukee Brewers,117,Houston Astros,1,9,10,682990,664285,Quinn Priester,Framber Valdez,2025,5.786,4.39,23.3,41.0
778016,2025-05-07,17,2889,Busch Stadium,138,St. Louis Cardinals,134,Pittsburgh Pirates,5,0,5,543243,656605,Sonny Gray,Mitch Keller,2025,4.119,4.385,39.3,39.0
778020,2025-05-07,18,17,Wrigley Field,112,Chicago Cubs,137,San Francisco Giants,1,3,4,676962,592662,Ben Brown,Robbie Ray,2025,4.883,3.052,31.3,38.3
778010,2025-05-07,19,2529,Sutter Health Park,133,Athletics,136,Seattle Mariners,5,6,11,680684,693433,Gunnar Hoglund,Bryan Woo,2025,,2.583,6.0,38.3
778014,2025-05-07,19,15,Chase Field,109,Arizona Diamondbacks,121,New York Mets,1,7,8,518876,673540,Merrill Kelly,Kodai Senga,2025,4.062,1.378,37.7,32.7
778017,2025-05-07,20,4169,loanDepot park,146,Miami Marlins,119,Los Angeles Dodgers,1,10,11,678368,689017,Valente Bellozo,Landon Knack,2025,,,12.7,8.7
778018,2025-05-07,22,3,Fenway Park,111,Boston Red Sox,140,Texas Rangers,6,4,10,656557,641816,Tanner Houck,Tyler Mahle,2025,6.382,1.195,36.7,37.7
